service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Instances (Compute Engine),E2 Instance Core running in Jakarta,1460.0,asia-southeast2,6F81-5844-456A,621C-41D1-4D05,42.82348,
Instances (Compute Engine),E2 Instance Ram running in Jakarta,5840.0,asia-southeast2,6F81-5844-456A,2526-CC04-D642,22.95397,
Instances (Compute Engine),Balanced PD Capacity in Jakarta,10.0,asia-southeast2,6F81-5844-456A,7CD6-D519-82F7,1.3,
Firestore,Cloud Firestore Read Ops Jakarta,6083.333333333334,asia-southeast2,F17B-412E-CB64,5E9C-952D-A879,0,
Firestore,Cloud Firestore Entity Writes Jakarta,6083.333333333334,asia-southeast2,F17B-412E-CB64,0518-9538-C614,0,
Firestore,Cloud Firestore Entity Deletes Jakarta,4562.5,asia-southeast2,F17B-412E-CB64,C22A-D047-FA5F,0,
Firestore,Cloud Firestore Storage Jakarta,5.0,asia-southeast2,F17B-412E-CB64,7D87-7C62-0BDF,0.70207,
Static IP Address (Networking),External IP Charge on a Standard VM,1.0,global,6F81-5844-456A,C054-7F72-A02E,0,
Static IP Address (Networking),External IP Charge on a Spot Preemptible VM,0.0,global,6F81-5844-456A,4AF8-7C1F-39C4,0,
Static IP Address (Networking),Static Ip Charge in Jakarta,1.0,asia-southeast2,6F81-5844-456A,3187-BEA3-A76E,8.019,
Cloud Storage (Model) (Cloud Storage),Standard Storage Jakarta,1.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,0.02142,
Cloud Storage (Image User) (Cloud Storage),Standard Storage Jakarta,5.0,asia-southeast2,95FF-2EF5-5EA1,DB0A-37C5-4E19,0.1071,
,,,,,,,
,,,,,Total Price:,75.92704,
,,,,,,,
"Prices are in US dollars, effective date is 2024-12-13T07:48:34.921Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVF6WW1RMVpUTmxOaTB4T1RJNUxUUmpNV0V0WVdRelpTMWpNREl5T1dFMVpXWm1OVFlRQVE9PRokMjhEMUM3QzUtRjlFQS00RDA0LTk1QzAtNTQyNzQzNTEwQkYz,,,,,,